許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
100005-01,アルピナＢＩ株式会社,バード　キャッスル,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100008-01,,茶坊,飲食店営業,2020/10/20,2020/11/01,2026/10/31,
100009-01,,もくもく,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100010-29,葛川漁業協同組合,葛川漁業協同組合,そうざい製造業,2020/10/14,2020/11/01,2026/10/31,申請のあった取扱品目の製造に限る
100017-01,株式会社石楠花山荘,石楠花山荘,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100025-01,,伊香立食堂,飲食店営業,2020/10/16,2020/11/01,2026/10/31,
100028-01,,吉田食料品店,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100028-03,,吉田食料品店,食肉販売業,2021/10/07,2021/11/01,2027/10/31,とさつ・解体は行わないこと
100028-04,,吉田食料品店,魚介類販売業,2021/10/07,2021/11/01,2027/10/31,
100071-01,,珈琲館ＤＯＭＯＮ,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
100080-01,,やきとり滝吉,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100118-01,株式会社トージツフーズ,株式会社トージツフーズ堅田食堂,飲食店営業,2021/10/07,2021/11/01,2028/10/31,
100120-01,株式会社トージツフーズ,株式会社トージツフーズ堅田龍湖寮,飲食店営業,2024/10/17,2024/11/01,2031/10/31,
100195-01,大津観光株式会社,クラブ　ナンディ,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100196-01,大津観光株式会社,里湯昔話雄山荘,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
100197-01,大津観光株式会社,ゆすらうめ,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100206-01,,池見商店,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100206-03,,池見商店,食肉販売業,2022/10/12,2022/11/01,2028/10/31,とさつ・解体は行わないこと
100206-04,,池見商店,魚介類販売業,2022/10/12,2022/11/01,2028/10/31,
100217-01,株式会社マリーナ雄琴,マリーナ雄琴,飲食店営業,2025/10/27,2025/11/01,2031/10/31,
100224-01,株式会社雄琴荘,雄琴荘,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
100228-01,株式会社きくのや,暖灯館　きくのや,飲食店営業,2021/10/25,2021/11/01,2028/10/31,
100229-01,株式会社きくのや,ラウンジ万葉,飲食店営業,2021/10/25,2021/11/01,2027/10/31,
100240-01,,鳥與志,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
100242-01,株式会社琵琶湖グランドホテル,琵琶湖グランドホテル,飲食店営業,2021/10/12,2021/11/01,2028/10/31,
100243-01,株式会社琵琶湖グランドホテル,琵琶湖グランドホテル西館,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
100257-12,株式会社芙蓉園,白毫,喫茶店営業,2020/10/12,2020/11/01,2026/10/31,
100269-01,,さくらんぼ,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
100291-01,,コロラドコーヒーショップ　ユキヨ店,飲食店営業,2022/02/08,2022/03/01,2028/02/29,
100292-01,一般財団法人泉会,びわこ老人の家,飲食店営業,2022/02/08,2022/03/01,2028/02/29,
100305-01,,味平,飲食店営業,2023/10/13,2023/11/01,2029/10/31,
100306-01,,ふじ川,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
100306-04,,ふじ川,魚介類販売業,2022/10/11,2022/11/01,2028/10/31,
100309-01,,宿汐,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
100317-20,有限会社玉利商店,玉利商店,みそ又はしょうゆ製造業,2025/10/20,2025/11/01,2031/10/31,申請のあった取扱品目の製造に限る。
100323-11,レーク滋賀農業協同組合,ＪＡレーク滋賀下阪本農産物加工所,菓子製造業,2022/10/11,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
100323-20,レーク滋賀農業協同組合,ＪＡレーク滋賀下阪本農産物加工所,みそ又はしょうゆ製造業,2022/10/11,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
100338-01,一冨士フードサービス株式会社,２１２Ｂ　事業所,飲食店営業,2019/10/16,2019/11/01,2026/10/31,
100366-01,有限会社きべ,きべ,飲食店営業,2021/01/28,2021/03/01,2027/02/28,
100382-07,,ファミリーショップオーク,魚介類販売業,2021/02/08,2021/03/01,2027/02/28,
100469-01,有限会社藤興業,ＨＯＴＥＬ　ＦＥＥＬ　ＬＡＫＥ　ＶＩＥＷ,飲食店営業,2021/02/03,2021/03/01,2027/02/28,
100500-01,,仕出し割烹　昇力,飲食店営業,2021/02/09,2021/03/01,2027/02/28,
100500-27,,仕出し割烹　昇力,冷凍食品製造業,2022/12/07,2022/12/21,2029/02/28,申請のあった取扱品目の製造に限る
100532-01,,焼肉ちさかや,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
100536-01,,うまいもん処　花実,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
100542-01,,おふくろの味　ひさ,飲食店営業,2021/02/04,2021/03/01,2027/02/28,
100571-02,日本酪農協同株式会社,日本酪農協同株式会社滋賀工場,菓子製造業,2021/02/01,2021/03/01,2028/02/29,申請のあった取扱品目の製造に限る
100571-32,日本酪農協同株式会社,日本酪農協同株式会社滋賀工場,清涼飲料水製造業,2021/02/01,2021/03/01,2028/02/29,申請のあった取扱品目の製造に限る
100571-07,日本酪農協同株式会社,日本酪農協同株式会社滋賀工場,乳処理業,2025/02/06,2025/03/01,2032/02/29,
100571-13,日本酪農協同株式会社,日本酪農協同株式会社滋賀工場,乳製品製造業,2025/03/01,2025/03/01,2032/02/29,申請のあった取扱品目の製造に限る
100581-01,,ぴんぽん,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
100582-01,,岩井商店,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
100582-03,,岩井商店,食肉販売業,2022/02/07,2022/03/01,2028/02/29,とさつ・解体は行わないこと
100584-01,,ホテル大津,飲食店営業,2026/02/09,2026/03/01,2032/02/29,
100585-01,,シャモ亭,飲食店営業,2026/02/18,2026/03/01,2032/02/29,
100617-01,株式会社かねよ,かねよレストラン,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
