施設名,施設郵便,施設住所,法人・団体名,施設番号,許可日,当初許可日,業種,種目主,種目従,満了日,条件1,条件2,条件3,条件4
山本養魚場,525-0041,草津市青地町４２２,,200073116,R06/04/08,R06/04/08,※水産製品製造業,その他水産製品製造,,R13/02/28,,,,
パイン株式会社　滋賀工場,525-0048,草津市追分南九丁目１番１号,パイン株式会社,200090111,R04/03/01,R04/03/01,※菓子製造業,菓子製造,,R10/02/29,,,,
古川酒造,525-0053,草津市矢倉一丁目３－３３,古川酒造有限会社,200107121,R06/03/01,R06/03/01,※酒類製造業,酒類製造,,R12/02/28,,,,
トリコロ－ル,525-0034,草津市草津二丁目１０－２７,,200205101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
太田酒造,525-0034,草津市草津三丁目１０－３７,太田酒造株式会社,200222121,R06/03/01,R06/03/01,※酒類製造業,酒類製造,,R12/02/28,,,,
太田酒造,525-0034,草津市草津三丁目１０－３７,太田酒造株式会社,200222129,R06/08/15,R06/08/15,※漬物製造業,漬物（浅漬け除く。）製造,,R13/02/28,,,,
京屋商店,525-0034,草津市草津三丁目１０－４４,,200223124,R05/03/01,R05/03/01,※麺類製造業,生めん製造,,R10/02/29,,,,
餃子の王将　国道草津店,525-0034,草津市草津三丁目１４－２５,株式会社王将フードサービス,200239101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R12/02/28,,,,
さやま,525-0036,草津市草津町１４７９－４,,200287101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
しか（一品料理の店）,525-0032,草津市大路一丁目１６－３,,200378101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
いずみや,525-0032,草津市大路一丁目４－１５,,200415101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
かね吉本店,525-0032,草津市大路一丁目４－１８,,200416103,R04/03/01,R04/03/01,※食肉販売業,獣肉販売,,R10/02/29,とさつ・解体をしないこと,,,
かね吉本店,525-0032,草津市大路一丁目４－１８,,200417101,R04/03/01,R04/03/01,※飲食店営業,そうざい屋,仕出し屋,R10/02/29,,,,
じゅえるるーむ,525-0032,草津市大路一丁目５－２,,200424101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
近江　スエヒロ　本店,525-0032,草津市大路三丁目１－３９,日本観光開発株式会社,200494101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R13/02/28,,,,
近江　スエヒロ　本店,525-0032,草津市大路三丁目１－３９,日本観光開発株式会社,200494103,R06/03/01,R06/03/01,※食肉販売業,獣肉販売,鳥肉販売,R13/02/28,とさつ・解体をしないこと,,,
