カテゴリ,施設名,郵便番号,所在地,住所,番地,法人・団体名,確認・許可年月日,種別,旧種別,登録期限,保健所
理容所,Ａｍｂｅｒ Ｊａｃｋ,520-3037,栗東市北中小路,栗東市北中小路４１３－１,４１３－１,,H17/03/30,,,,草津
理容所,ａｔｔｅｎ ｄｒｉｒ,520-2416,野洲市堤,野洲市堤２０６０－２,２０６０－２,,H17/06/21,,,,草津
理容所,ＢＡＲ ＢＥＲ 井上,520-3015,栗東市安養寺六丁目,栗東市安養寺六丁目６－３７,６－３７,,S60/12/12,,,,草津
理容所,Ｂａｒ Ｂｅｒ ＧＯＬＬＹ,525-0055,草津市野路町,草津市野路町１５４５,１５４５,,H14/03/20,,,,草津
理容所,ＢＡＲ ＢＥＲ ＳＨＯＰ 梅,524-0044,守山市古高町,守山市古高町４５１－１,４５１－１,,H17/11/03,,,,草津
理容所,Ｂａｒ Ｂｅｒ ＹＡＭＡＭＯＴＯ,525-0032,草津市大路一丁目,草津市大路一丁目４－２８,４－２８,,S37/04/07,,,,草津
理容所,ＢＡＲＢＥＲ ＧＬＡＤ,525-0027,草津市野村八丁目,草津市野村八丁目６－２２,６－２２,,H18/11/10,,,,草津
理容所,Ｂａｒｂｅｒ 壱,525-0061,草津市北山田町,草津市北山田町５８－４,５８－４,,H20/07/08,,,,草津
理容所,ＣＲＡＺＥ Ｈａｉｒ,525-0061,草津市北山田町,草津市北山田町２８６,２８６,,H20/03/20,,,,草津
理容所,ＣＵＴ ＢＯＸ ＴＡＫＡ,525-0054,草津市東矢倉一丁目,草津市東矢倉一丁目２－２,２－２,,H14/09/10,,,,草津
理容所,ＥＴＳＵＫＯ ＨＡＩＲ ＭＡＫＥ,525-0037,草津市西大路町,草津市西大路町４－３２ エストピアプラザ ２Ｆ,４－３２ エストピアプラザ ２Ｆ,,H14/10/11,,,,草津
理容所,Ｈａｉｒ ＆ Ｆａｃｅ ａｒｔｅｍｉ ｓ,525-0027,草津市野村一丁目,草津市野村一丁目２６－１１ パステルエイト ２,２６－１１ パステルエイト ２,,H16/05/29,,,,草津
理容所,ＨＡＩＲ ＣＨＡＮＧＥ Ｔ’,520-2323,野洲市三上,野洲市三上４６０－２,４６０－２,,H07/11/02,,,,草津
理容所,ＨＡＩＲ ＭＡＫＥ Ｉ’Ｓ,520-2304,野洲市永原,野洲市永原１０１８－３,１０１８－３,,S45/01/20,,,,草津
理容所,ｈａｉｒ ｍｏｄｅ ニシデ,524-0012,守山市播磨田町,守山市播磨田町１１３８－１,１１３８－１,,S58/01/11,,,,草津
理容所,ＨＡＩＲ ＳＡＬＯＮ オンリー１,524-0041,守山市勝部五丁目,守山市勝部五丁目３－３６,３－３６,,H18/10/20,,,,草津
理容所,Ｈａｉｒ Ｔａｎｉｇｕｃｈｉ,524-0011,守山市今市町,守山市今市町２９－４,２９－４,,S52/10/21,,,,草津
理容所,ＩＢＩＺＡ,524-0043,守山市二町町,守山市二町町３０－４８,３０－４８,,H19/12/18,,,,草津
理容所,ｉｍｐｒｅｓｓ,525-0066,草津市矢橋町,草津市矢橋町３０６－１,３０６－１,,H13/09/14,,,,草津
理容所,ＬＥＡＦ,520-3045,栗東市高野,栗東市高野５０３－３,５０３－３,,H16/01/13,,,,草津
理容所,ＬｏｏＰ（ループ）,525-0023,草津市平井六丁目,草津市平井六丁目８－３１,８－３１,,H12/10/20,,,,草津
理容所,ＱＢハウス アルプラザ野洲店,520-2331,野洲市小篠原,野洲市小篠原１０００ アルプラザ野洲１ Ｆ,１０００ アルプラザ野洲１ Ｆ,キュービーネット株式会社,R06/10/18,,,,草津
理容所,ＳｉＳｉｍｕｏａ（シシムーア）,525-0035,草津市西草津二丁目,草津市西草津二丁目３－１３,３－１３,,H12/11/24,,,,草津
理容所,ＳＷＩＴＣＨ ＯＮ,520-3031,栗東市綣九丁目,栗東市綣九丁目１２－１４,１２－１４,,H19/09/28,,,,草津
理容所,ＴＩＭＮＡＲ ティンナール,524-0022,守山市守山六丁目,守山市守山六丁目１０－７３,１０－７３,,H20/07/01,,,,草津
理容所,ＥＲｄｅ Ｔｓｕｊｉ,524-0104,守山市木浜町,守山市木浜町１８５６－１,１８５６－１,有限会社おしゃれサロンツ ジ,S60/03/26,,,,草津
理容所,おしゃれの館 カズ,524-0061,守山市赤野井町,守山市赤野井町２４４－２,２４４－２,,H03/12/11,,,,草津
理容所,おしゃれの館 ツヂ,524-0022,守山市守山三丁目,守山市守山三丁目２４－１５,２４－１５,有限会社おしゃれの館グル －プ,S61/09/12,,,,草津
理容所,髪のＷＡ タナカ,520-2352,野洲市冨波乙,野洲市冨波乙６８１－４２,６８１－４２,,H07/08/01,,,,草津
理容所,オダ理容,525-0063,草津市南山田町,草津市南山田町８２８,８２８,,S47/04/01,,,,草津
理容所,カット ハウス ムラキ,525-0014,草津市駒井沢町,草津市駒井沢町７０－４,７０－４,,H07/12/06,,,,草津
理容所,カット・プラザ にしうら,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目８－３,８－３,,H02/12/15,,,,草津
理容所,カットサロン カタヤマ,524-0102,守山市水保町,守山市水保町１２６９－６,１２６９－６,,S56/11/09,,,,草津
理容所,カットサロン コスモー,520-2361,野洲市北野一丁目,野洲市北野一丁目１５－３３,１５－３３,,H20/06/10,,,,草津
理容所,カットサロン タニムラ,520-2313,野洲市大篠原,野洲市大篠原１７４４－３,１７４４－３,,S54/05/15,,,,草津
理容所,カットサロン フジタ,525-0034,草津市草津二丁目,草津市草津二丁目５－１７,５－１７,,S43/06/29,,,,草津
理容所,カットハウス Ｂｉｌｌｙ Ｈｏｌｌｙ,524-0011,守山市今市町,守山市今市町１１３－５,１１３－５,,H15/03/07,,,,草津
理容所,カットハウス キャッツ,525-0034,草津市草津四丁目,草津市草津四丁目８－１９,８－１９,,H15/03/18,,,,草津
理容所,カットハウス クイーン,520-3031,栗東市綣二丁目,栗東市綣二丁目２－３４ ウイングビュー１ Ｆ,２－３４ ウイングビュー１ Ｆ,,H19/09/01,,,,草津
理容所,カットハウス とんぼ,524-0015,守山市矢島町,守山市矢島町１２００,１２００,,H06/07/12,,,,草津
理容所,カットハウス ホラグチ,520-3047,栗東市手原二丁目,栗東市手原二丁目７－３,７－３,有限会社ヘアーサロン ホ ラグチ,H10/12/02,,,,草津
理容所,カットハウス 山次,524-0012,守山市播磨田町,守山市播磨田町１１５－５,１１５－５,,H20/06/04,,,,草津
理容所,keren hair’s matahari,520-3015,栗東市安養寺一丁目,栗東市安養寺一丁目１－１１,１－１１,,H19/03/15,,,,草津
理容所,カット倶楽部 ＴＷＩＳＴ,520-3005,栗東市御園,栗東市御園１８６４－１,１８６４－１,,H06/04/05,,,,草津
理容所,カツベ理容,524-0041,守山市勝部一丁目,守山市勝部一丁目１２－４３,１２－４３,,S54/10/31,,,,草津
理容所,キシモト,524-0015,守山市矢島町,守山市矢島町１２２４,１２２４,,S51/11/25,,,,草津
理容所,グランドビューティプラザナガタ理容室,525-0033,草津市東草津三丁目,草津市東草津三丁目３－１４,３－１４,,H08/05/29,,,,草津
理容所,さんぱつのお店 よこた,525-0011,草津市片岡町,草津市片岡町２２１－１,２２１－１,,H01/04/11,,,,草津
理容所,とこや ハーフポテト,525-0066,草津市矢橋町,草津市矢橋町１２７－１,１２７－１,,S62/03/20,,,,草津
理容所,ナショナル理容店,525-0058,草津市野路東五丁目,草津市野路東五丁目２６－３８,２６－３８,,S48/06/19,,,,草津
理容所,バーバー オン ベルベット,525-0071,草津市南笠東二丁目,草津市南笠東二丁目７－７ ＹＫＳビル３Ｆ,７－７ ＹＫＳビル３Ｆ,,H11/09/09,,,,草津
理容所,ハジメちゃんの館,525-0061,草津市北山田町,草津市北山田町８１９,８１９,,H22/12/28,,,,草津
理容所,ハチヤ理容所,520-3021,栗東市蜂屋,栗東市蜂屋２０４－１,２０４－１,,S41/08/10,,,,草津
理容所,ひさいずみ理容店,525-0063,草津市南山田町,草津市南山田町３７０,３７０,,S40/04/15,,,,草津
理容所,ファミリーサロン いぐち,525-0023,草津市平井一丁目,草津市平井一丁目４－２３,４－２３,,S54/07/28,,,,草津
理容所,ヘアー ドゥ フェリオ,525-0023,草津市平井二丁目,草津市平井二丁目１－３,１－３,,H13/03/02,,,,草津
理容所,ヘアーサロン ＯＰＡＳ,524-0043,守山市二町町,守山市二町町１９０－１,１９０－１,,H19/11/16,,,,草津
理容所,ヘアーサロン あひる,525-0071,草津市南笠東一丁目,草津市南笠東一丁目６－３３,６－３３,,H14/01/29,,,,草津
理容所,ヘアーサロン アレジ,524-0102,守山市水保町,守山市水保町１２５５－７０,１２５５－７０,,H07/10/20,,,,草津
理容所,ヘアーサロン イシカワ,520-2300,野洲市近江富士二丁目,野洲市近江富士二丁目１５－１６,１５－１６,,H07/05/10,,,,草津
理容所,ヘアーサロン かたやま,520-3041,栗東市出庭,栗東市出庭１５０８,１５０８,,H18/06/06,,,,草津
理容所,ヘアーサロン グー,520-3031,栗東市綣二丁目,栗東市綣二丁目５－４－１－２,５－４－１－２,,H11/01/28,,,,草津
理容所,ヘアー＆ビューティサロン ナカガワ,520-3031,栗東市綣七丁目,栗東市綣七丁目７－１３,７－１３,,S47/04/10,,,,草津
理容所,ヘアーサロン レビュー,525-0027,草津市野村二丁目,草津市野村二丁目１－９ グランシティー西大 路１Ｆ,１－９ グランシティー西大 路１Ｆ,,H11/07/07,,,,草津
理容所,ヘアーサロン 村田,525-0014,草津市駒井沢町,草津市駒井沢町１８６－５,１８６－５,,H11/10/04,,,,草津
理容所,ヘアーサロン岸,524-0022,守山市守山一丁目,守山市守山一丁目９－８,９－８,,S63/10/29,,,,草津
理容所,ヘアーズ・さくらい,520-2351,野洲市冨波甲,野洲市冨波甲１１７３－１１,１１７３－１１,,H11/10/01,,,,草津
理容所,ヘアードレッサー ゆかり,525-0053,草津市矢倉二丁目,草津市矢倉二丁目２－５,２－５,,H06/05/02,,,,草津
理容所,ヘアークリエイトサロン クロダ,525-0066,草津市矢橋町,草津市矢橋町１８－９,１８－９,,S54/07/17,,,,草津
理容所,ｈａｉｒ ｓｐｏｔ ＵＥＭＵＲＡ,520-2331,野洲市小篠原,野洲市小篠原８２６－６,８２６－６,,S60/12/12,,,,草津
理容所,ヘアーサロン ウメノ,524-0053,守山市横江町,守山市横江町２２２－２２,２２２－２２,,S63/04/24,,,,草津
理容所,ヘアーサロン さかがみ,525-0066,草津市矢橋町,草津市矢橋町２３－５０,２３－５０,,H02/03/20,,,,草津
理容所,ヘアーサロン ユウメン,525-0035,草津市西草津一丁目,草津市西草津一丁目７－６,７－６,,S60/07/22,,,,草津
理容所,ヘアーサロン 河合,520-3015,栗東市安養寺二丁目,栗東市安養寺二丁目１２－２７,１２－２７,,S52/09/06,,,,草津
理容所,ヘアーサロン アラガ,525-0055,草津市野路町,草津市野路町１０８２－７,１０８２－７,,H20/08/21,,,,草津
