カテゴリ,施設名,郵便番号,所在地,住所,番地,電話番号,営業者氏名,確認・許可年月日,種別,旧種別,登録期限,保健所,出典ファイル
理容所,Ａｍｂｅｒ Ｊａｃｋ,520-3037,栗東市北中小路,栗東市北中小路４１３－１,４１３－１,077-551-0852,西出 隆秀,H17/03/30,,,,草津,5627913.pdf
理容所,ａｔｔｅｎ ｄｒｉｒ,520-2416,野洲市堤,野洲市堤２０６０－２,２０６０－２,077-589-6777,谷口 正雄,H17/06/21,,,,草津,5627913.pdf
理容所,ＢＡＲ ＢＥＲ 井上,520-3015,栗東市安養寺六丁目,栗東市安養寺六丁目６－３７,６－３７,52-0086,井上 忠志,S60/12/12,,,,草津,5627913.pdf
理容所,Ｂａｒ Ｂｅｒ ＧＯＬＬＹ,525-0055,草津市野路町,草津市野路町１５４５,１５４５,077-565-2932,小林 広宣,H14/03/20,,,,草津,5627913.pdf
理容所,ＢＡＲ ＢＥＲ ＳＨＯＰ 梅,524-0044,守山市古高町,守山市古高町４５１－１,４５１－１,077-581-3628,梅津 俊樹,H17/11/03,,,,草津,5627913.pdf
理容所,Ｂａｒ Ｂｅｒ ＹＡＭＡＭＯＴＯ,525-0032,草津市大路一丁目,草津市大路一丁目４－２８,４－２８,077-562-0023,山本 優,S37/04/07,,,,草津,5627913.pdf
理容所,ＢＡＲＢＥＲ ＧＬＡＤ,525-0027,草津市野村八丁目,草津市野村八丁目６－２２,６－２２,077-564-1599,山田 和人,H18/11/10,,,,草津,5627913.pdf
理容所,Ｂａｒｂｅｒ 壱,525-0061,草津市北山田町,草津市北山田町５８－４,５８－４,077-562-3782,宇野 一生,H20/07/08,,,,草津,5627913.pdf
理容所,ＣＲＡＺＥ Ｈａｉｒ,525-0061,草津市北山田町,草津市北山田町２８６,２８６,077-514-7051,清水 健太郎,H20/03/20,,,,草津,5627913.pdf
理容所,ＣＵＴ ＢＯＸ ＴＡＫＡ,525-0054,草津市東矢倉一丁目,草津市東矢倉一丁目２－２,２－２,077-565-3445,高岡 賢嗣,H14/09/10,,,,草津,5627913.pdf
理容所,ＥＴＳＵＫＯ ＨＡＩＲ ＭＡＫＥ,525-0037,草津市西大路町,草津市西大路町４－３２ エストピアプラザ ２Ｆ,４－３２ エストピアプラザ ２Ｆ,077-561-7233,大川 悦子,H14/10/11,,,,草津,5627913.pdf
理容所,Ｈａｉｒ ＆ Ｆａｃｅ ａｒｔｅｍｉ ｓ,525-0027,草津市野村一丁目,草津市野村一丁目２６－１１ パステルエイト ２,２６－１１ パステルエイト ２,077-561-7383,村居 克哉,H16/05/29,,,,草津,5627913.pdf
理容所,ＨＡＩＲ ＣＨＡＮＧＥ Ｔ’,520-2323,野洲市三上,野洲市三上４６０－２,４６０－２,077-588-0679,田中 則行,H07/11/02,,,,草津,5627913.pdf
理容所,ＨＡＩＲ ＭＡＫＥ Ｉ’Ｓ,520-2304,野洲市永原,野洲市永原１０１８－３,１０１８－３,077-587-2369,今在家 富子,S45/01/20,,,,草津,5627913.pdf
理容所,ｈａｉｒ ｍｏｄｅ ニシデ,524-0012,守山市播磨田町,守山市播磨田町１１３８－１,１１３８－１,077-582-2498,西出 俊二,S58/01/11,,,,草津,5627913.pdf
理容所,ＨＡＩＲ ＳＡＬＯＮ オンリー１,524-0041,守山市勝部五丁目,守山市勝部五丁目３－３６,３－３６,077-582-1521,奥村 騰,H18/10/20,,,,草津,5627913.pdf
理容所,Ｈａｉｒ Ｔａｎｉｇｕｃｈｉ,524-0011,守山市今市町,守山市今市町２９－４,２９－４,83-0204,谷口 武,S52/10/21,,,,草津,5627913.pdf
理容所,ＩＢＩＺＡ,524-0043,守山市二町町,守山市二町町３０－４８,３０－４８,077-582-1549,黒木 康弘,H19/12/18,,,,草津,5627913.pdf
理容所,ｉｍｐｒｅｓｓ,525-0066,草津市矢橋町,草津市矢橋町３０６－１,３０６－１,077-565-3233,有川 健一,H13/09/14,,,,草津,5627913.pdf
理容所,ＬＥＡＦ,520-3045,栗東市高野,栗東市高野５０３－３,５０３－３,077-553-5770,木村 貴幸,H16/01/13,,,,草津,5627913.pdf
理容所,ＬｏｏＰ（ループ）,525-0023,草津市平井六丁目,草津市平井六丁目８－３１,８－３１,566-0195,西尾 道明,H12/10/20,,,,草津,5627913.pdf
