カテゴリ,管理番号,施設名,郵便番号,所在地,開設者名,管理者名,電話番号,開設年月日,有効開始日,有効終了日,出典ファイル
病院,,大津赤十字病院,520-8511,大津市長等１丁目１番３５号,日本赤十字社,,077-522-4131,M 37. 4. 1,,,5624238.xlsx
病院,,市立大津市民病院,520-0804,大津市本宮２丁目９番９号,地方独立行政法人市立大津市民病院,,077-522-4607,H　29. 4. 1,,,5624238.xlsx
病院,,大津赤十字志賀病院,520-0580,大津市和邇中２９８,日本赤十字社,,077-594-8777,H14. 7. 1,,,5624238.xlsx
病院,,琵琶湖病院,520-0113,大津市坂本１丁目８番５号,医療法人明和会,,077-578-2023,S 27.10. 1,,,5624238.xlsx
病院,,独立行政法人地域医療機能推進機構滋賀病院,520-0846,大津市富士見台１６番１号,独立行政法人地域医療機能推進機構,,077-537-3101,2014-04-01,,,5624238.xlsx
病院,,医療法人藤樹会滋賀里病院,520-0006,大津市滋賀里１丁目１８番４１号,医療法人藤樹会,,077-522-5426,H 4. 5. 1,,,5624238.xlsx
病院,,医療法人堅田病院,520-0242,大津市本堅田３丁目３３番２４号,医療法人堅田病院,,077-572-1281,1996-06-01,,,5624238.xlsx
病院,,医療法人華頂会琵琶湖養育院病院,520-2144,大津市大萱７丁目７番２号,医療法人華頂会,,077-545-9191,H  8. 6. 1,,,5624238.xlsx
病院,,医療法人弘英会琵琶湖大橋病院,520-0232,大津市真野５丁目１番２９号,医療法人弘英会,,077-573-4321,H  1. 6. 1,,,5624238.xlsx
病院,,山田整形外科病院,520-0242,大津市本堅田５丁目２２番２７号,医療法人山田整形外科病院,,077-573-0058,2022-11-01,,,5624238.xlsx
病院,,医療法人良善会ひかり病院,520-0002,大津市際川３丁目３５－１,医療法人良善会,,077-522-5411,H18.12. 1,,,5624238.xlsx
病院,,琵琶湖中央リハビリテーション病院,520-0834,大津市御殿浜２２番３３号,医療法人幸生会,,077-526-2131,H  8.10. 1,,,5624238.xlsx
病院,,医療法人社団瀬田川病院,520-2142,大津市玉野浦４番２１号,医療法人社団瀬田川病院,,077-543-1441,S 63. 8. 1,,,5624238.xlsx
病院,,打出病院,520-0806,大津市打出浜１０番４１号,医療法人社団尚青会,,077-521-0005,2020-11-01,,,5624238.xlsx
病院,,滋賀医科大学医学部附属病院,520-2192,大津市瀬田月輪町,国立大学法人滋賀医科大学,,077-548-2111,S 53.10. 4,,,5624238.xlsx
病院,,社会福祉法人恩賜財団済生会滋賀県病院,520-3046,栗東市大橋２丁目４番１号,社会福祉法人恩賜財団済生会支部滋賀県済生会,,077-552-1221,S 12.10.23,,,5624238.xlsx
病院,,社会医療法人誠光会淡海医療センター,525-8585,草津市矢橋町１６６０番,社会医療法人誠光会,,077-563-8866,S 57. 4. 1,,,5624238.xlsx
病院,,社会医療法人誠光会淡海ふれあい病院,525-8585,草津市矢橋町1629番５,社会医療法人誠光会,,077-516-2121,2020-10-01,,,5624238.xlsx
病院,,医療法人芙蓉会南草津病院,525-0059,草津市野路五丁目２番３９号,医療法人芙蓉会,,077-562-0724,S 59. 9. 1,,,5624238.xlsx
病院,,びわこ学園医療福祉センター草津,525-0072,草津市笠山八丁目3-113,社会福祉法人びわこ学園,,077-566-0701,H  3. 6. 1,,,5624238.xlsx
病院,,市立野洲病院,520-2331,野洲市小篠原１０９４,野洲市,,077-587-1332,2019-07-01,,,5624238.xlsx
病院,,びわこ学園医療福祉センター野洲,520-2321,野洲市北桜978-2,社会福祉法人びわこ学園,,077-587-1144,S 41. 2. 1,,,5624238.xlsx
病院,,滋賀県立総合病院,524-8524,守山市守山５丁目４番３０号,滋賀県,,077-582-5031,S 45.12. 1,,,5624238.xlsx
病院,,湖南病院,520-2433,野洲市八夫２０７７番地,医療法人周行会,,077-589-5155,H  1. 9. 1,,,5624238.xlsx
病院,,社会福祉法人恩賜財団済生会守山市民病院,524-0022,守山市守山４丁目１４番１号,守山市,,077-582-5151,S 57. 4. 1,,,5624238.xlsx
病院,,滋賀県立精神医療センター,525-0072,草津市笠山八丁目4-25,滋賀県,,077-567-5001,H  4. 9. 1,,,5624238.xlsx
病院,,南草津野村病院,525-0059,草津市野路一丁目６番５号,医療法人真心会,,077-561-3788,H 10. 6. 1,,,5624238.xlsx
病院,,医療法人徳洲会近江草津徳洲会病院,525-0054,草津市東矢倉３丁目３４番５２号,医療法人徳洲会,,077-567-3610,2003-09-01,,,5624238.xlsx
病院,,独立行政法人国立病院機構紫香楽病院,529-1803,甲賀市信楽町牧９９７番地,独立行政法人国立病院機構,,0748-83-0101,2004-04-01,,,5624238.xlsx
病院,,一般社団法人水口病院,528-0031,甲賀市水口町本町２丁目２番４３号,一般社団法人水口病院,,0748-62-1212,S 24. 4. 2,,,5624238.xlsx
病院,,公立甲賀病院,528-0074,甲賀市水口町松尾１２５６番地,地方独立行政法人公立甲賀病院,,0748-62-0234,2019-04-01,,,5624238.xlsx
病院,,甲賀市立信楽中央病院,529-1851,甲賀市信楽町長野４７３番地,甲賀市,,0748-82-0249,2004-10-01,,,5624238.xlsx
病院,,医療法人社団仁生会甲南病院,520-3321,甲賀市甲南町葛木９５８番地,医療法人社団仁生会,,0748-86-3131,S 42.10.24,,,5624238.xlsx
病院,,医療法人社団美松会生田病院,520-3242,湖南市菩提寺104-13,医療法人社団美松会,,0748-74-8577,H  1. 6. 1,,,5624238.xlsx
病院,,医療法人社団阿星会甲西ﾘﾊﾋﾞﾘ病院,520-3223,湖南市夏見1168番地,医療法人社団阿星会,,0748-72-2881,H 11. 8. 1,,,5624238.xlsx
病院,,近江八幡市立総合医療センター,523-0082,近江八幡市土田町１３７９番地,近江八幡市,,0748-33-3151,S 15. 9. 8,,,5624238.xlsx
病院,,公益財団法人近江兄弟社ヴォーリズ記念病院,523-0805,近江八幡市円山町９２７－１,公益財団法人近江兄弟社,,0748-32-5211,2022-11-01,,,5624238.xlsx
病院,,滋賀八幡病院,523-8503,近江八幡市鷹飼町７４４番地,公益財団法人青樹会,,0748-33-7101,S 27. 7.16,,,5624238.xlsx
病院,,医療法人社団昴会日野記念病院,529-1642,蒲生郡日野町上野田２００番地１,医療法人社団昴会,,0748-53-1201,H  3. 4. 1,,,5624238.xlsx
病院,,独立行政法人国立病院機構東近江総合医療センター,527-8505,東近江市五智町２５５番地,独立行政法人国立病院機構,,0748-22-3030,S 20.12. 1,,,5624238.xlsx
病院,,東近江市立能登川病院,521-1223,東近江市猪子町１９１番地,東近江市,,0748-42-1333,2006-01-01,,,5624238.xlsx
